ID,NAME,HEALTH,DAMAGE,RANGE,SPEED,LOS
2981,buzzy,7,4,3,4,9
2982,bvworks,6,5,2,1,10
2983,by,10,6,1,6,6
2984,o,8,6,1,8,4
2985,bycenko,1,7,2,8,9
2986,bydeley,3,9,3,5,7
2987,byer,1,7,2,9,4
2988,byers,6,4,3,6,7
2989,byk,9,4,2,3,4
2990,bykowy,2,7,2,3,4
2991,bylina,9,3,1,7,6
2992,byoung,5,5,2,7,5
2993,byoungin,1,4,3,5,9
2994,byram,7,3,1,10,3
2995,byran,9,5,3,10,4
2996,byrann,1,7,2,3,3
2997,byrd,1,5,2,6,5
2998,byrgesen,5,7,2,7,2
2999,byrle,4,10,3,5,10
3000,byrne,5,8,3,5,5
3001,byrnes,2,7,3,10,7
3002,byrom,4,1,1,10,5
3003,byron,6,7,2,8,6
3004,byung,9,1,3,8,3
3005,byungyon,1,6,2,6,1
3006,cabaniss,7,5,1,6,5
3007,cabi,3,6,2,9,5
3008,cabot,9,9,3,1,9
3009,cabral,8,10,2,2,7
3010,cabras,2,9,3,4,8
3011,cabrera,5,4,1,10,8
3012,caceres,3,6,3,8,4
3013,cacha,6,6,2,7,9
3014,cachero,5,4,1,7,1
3015,cacilie,2,2,3,4,3
3016,cad,4,6,3,4,2
3017,cadd,6,9,3,6,2
3018,caddric,8,5,2,4,9
3019,cadeau,4,6,2,8,3
3020,cadieux,7,9,1,8,5
3021,cadshare,10,8,3,7,2
3022,cadtools,6,1,3,10,7
3023,cadzow,7,2,2,10,6
3024,cae,7,8,2,3,10
3025,caesar,6,5,2,4,2
3026,caffrey,5,8,3,3,1
3027,caffry,2,5,2,3,8
3028,cagatay,3,7,1,2,7
3029,caglar,6,3,1,10,1
3030,caglayan,7,3,3,5,8
3031,cahill,4,4,3,7,10
3032,cahra,3,4,2,4,2
3033,cai,4,4,1,1,7
3034,cain,6,6,2,3,1
3035,caine,5,10,2,6,6
3036,caines,6,4,3,10,7
3037,cairisti,5,2,1,7,2
3038,cairns,1,3,3,10,5
3039,caison,3,3,3,3,2
3040,caitlin,2,6,1,8,9
3041,caitrin,6,10,3,8,3
3042,cakarevi,7,1,1,3,3
3043,cal,9,2,3,8,1
3044,calahorr,3,4,2,7,4
3045,calc,1,6,1,6,8
3046,calcote,2,9,1,1,10
3047,caldwell,5,5,1,9,3
3048,cale,10,1,1,9,10
3049,caleb,6,3,3,9,8
3050,caleta,3,8,2,6,4
3051,calhoun,1,5,1,4,1
3052,caliboso,3,2,1,7,2
3053,calida,1,9,1,9,9
3054,calis,7,9,2,2,2
3055,calistro,5,2,3,4,1
3056,calkins,8,3,1,7,7
3057,calla,5,10,3,1,8
3058,callagha,10,7,2,1,8
3059,callahan,7,5,1,5,1
3060,callan,1,4,3,10,5
3061,callanan,3,8,2,3,5
3062,callean,3,7,3,8,2
3063,calleja,8,1,1,2,5
3064,callende,8,1,3,1,2
3065,callery,5,4,2,1,2
3066,calley,6,9,2,4,9
3067,calli,4,10,3,5,7
3068,callie,2,7,2,4,6
3069,callos,1,7,2,5,7
3070,calloway,3,8,3,2,8
3071,cally,6,3,3,5,2
3072,calmejan,10,7,2,4,7
3073,calmenso,8,1,2,9,9
3074,calow,3,7,1,8,3
3075,caltride,8,5,3,7,7
3076,calumet,1,1,2,3,2
3077,calv,4,9,1,5,3
3078,calva,8,1,1,6,3
3079,calvary,4,3,1,1,7
3080,calvin,2,9,2,1,10
3081,calypso,10,2,3,1,6
3082,calzaros,9,5,3,2,5
3083,cam,5,9,1,7,7
3084,camacho,1,8,3,9,3
3085,camala,9,8,1,6,2
3086,camblin,3,9,2,5,3
3087,cambre,3,7,1,5,9
3088,camel,10,10,2,3,3
3089,camel-to,4,9,1,1,6
3090,camella,3,6,3,3,6
3091,camellia,10,5,2,3,5
3092,cameron,2,3,1,5,10
3093,camet,7,7,3,1,10
3094,camey,8,8,3,9,3
3095,cami,9,3,2,3,4
3096,camie,7,6,3,2,9
3097,camila,6,2,2,7,5
3098,camile,4,4,2,5,5
3099,camilla,1,6,2,2,1
3100,camille,3,5,1,8,2
3101,camilluc,5,4,2,7,10
3102,camino,8,2,2,8,6
3103,camirand,3,4,1,4,7
3104,cammi,10,5,2,1,4
3105,cammie,8,1,2,9,1
3106,cammy,1,6,2,2,8
3107,campanel,3,4,1,1,5
3108,campbell,8,5,1,9,1
3109,campeau,4,9,2,8,5
3110,camplone,7,6,1,10,3
3111,campo,4,7,2,1,8
3112,campos,3,4,2,2,8
3113,canada,3,4,1,6,6
3114,canadian,2,5,2,9,1
3115,canavan,10,10,2,6,1
3116,cancela,4,6,1,5,8
3117,candace,3,1,2,2,6
3118,candee,2,9,1,8,6
3119,candi,8,4,2,7,4
3120,candice,7,8,1,7,1
3121,candida,1,8,2,3,6
3122,candide,9,1,1,7,3
3123,candie,1,9,1,2,10
3124,candis,4,4,3,5,1
3125,candra,7,8,1,1,8
3126,candy,7,3,2,7,10
3127,canete,6,2,1,9,7
3128,canfield,2,8,2,7,10
3129,cang,7,3,2,10,4
3130,cann,2,4,3,2,2
3131,cannatar,6,4,3,3,4
3132,cano,4,4,1,5,3
3133,cantlie,5,4,1,2,4
3134,cantrell,5,6,2,10,8
3135,cantwell,8,2,3,8,6
3136,canuel,2,9,1,3,7
3137,canute,3,2,3,9,5
3138,capelle,5,8,1,6,4
3139,capes,1,10,2,2,6
3140,capindal,6,7,2,4,10
3141,caple,10,4,2,4,5
3142,caplinge,8,1,1,9,7
3143,capobian,3,3,1,10,1
3144,capostag,7,2,2,7,8
3145,capozzi,4,2,2,8,4
3146,capps,4,6,1,6,3
3147,capretta,1,6,1,8,8
3148,caprice,8,5,2,6,7
3149,captives,5,4,2,8,1
3150,caputo,1,8,3,4,3
3151,car,5,7,2,1,8
3152,cara,5,5,3,1,5
3153,caralie,4,3,3,9,9
3154,carandan,1,4,2,1,1
3155,carbajal,6,1,2,9,1
3156,carbone,6,3,2,3,3
3157,carboni,10,7,1,7,1
3158,carbonne,1,6,2,6,6
3159,cardella,6,3,2,2,2
3160,cardozo,5,6,3,2,5
3161,cards,8,5,2,7,2
3162,care,3,4,2,2,1
3163,career,1,9,3,2,3
3164,careers,6,3,2,7,9
3165,carella,4,4,3,8,3
3166,caren,1,1,1,4,5
3167,carena,1,2,3,7,7
3168,caresa,4,7,3,2,8
3169,caresani,7,6,1,2,8
3170,caressa,4,1,1,9,6
3171,carevic,10,1,2,8,5
3172,carew,9,1,2,8,8
3173,carey,10,5,1,1,8
3174,cargill,6,1,3,8,8
3175,cargnell,1,4,1,8,2
3176,caridad,3,4,2,9,9
3177,carie,1,7,1,3,1
3178,carignan,9,4,3,1,8
3179,caril,8,2,2,5,6
3180,carilyn,3,4,3,10,10
3181,carin,2,6,2,1,8
3182,carina,1,4,3,1,8
3183,carine,8,1,3,1,2
3184,cariotta,1,10,2,1,2
3185,carisa,2,5,1,6,5
3186,carissa,10,1,2,4,4
3187,carita,1,7,2,2,7
3188,caritta,3,1,3,7,9
3189,cark,4,1,3,3,5
3190,carl,2,9,1,7,9
3191,carla,3,1,3,9,9
3192,carlberg,8,9,1,5,6
3193,carldata,5,1,1,9,7
3194,carle,8,9,1,4,5
3195,carlean,2,5,1,1,9
3196,carlebac,10,6,1,8,3
3197,carlee,2,4,3,6,4
3198,carlen,4,4,1,4,6
3199,carlene,3,3,3,4,9
3200,carleton,10,4,3,4,2
3201,carlett,6,4,3,4,2
3202,carley,2,2,3,4,9
3203,carli,5,8,2,2,7
3204,carlin,10,3,1,3,7
3205,carlina,8,6,2,7,4
3206,carline,9,1,1,2,2
3207,carling,7,1,1,5,3
3208,carlisle,8,10,2,7,1
3209,carlita,6,6,3,1,4
3210,carlo,3,2,3,3,1
3211,carlota,4,4,2,8,10
3212,carlotta,3,9,1,2,1
3213,carlson,5,10,3,3,5
3214,carlton,5,1,2,8,7
3215,carly,10,1,2,7,7
3216,carlye,5,4,2,2,6
3217,carlyle,8,1,1,8,4
3218,carlyn,9,4,2,5,3
3219,carlynn,8,10,2,1,9
3220,carma,8,1,2,4,2
3221,carmel,1,1,2,3,5
3222,carmela,3,2,1,2,1
3223,carmelia,5,9,3,4,8
3224,carmelin,8,5,2,3,6
3225,carmelit,7,7,2,1,9
3226,carmella,3,9,3,6,10
3227,carmelle,3,1,1,1,1
3228,carmelo,1,9,2,3,6
3229,carmen,1,9,1,10,2
3230,carmenci,7,3,2,4,10
3231,carmicha,2,6,3,8,4
3232,carmina,3,4,1,3,9
3233,carmine,4,8,1,10,2
3234,carmita,4,7,3,4,10
3235,carmody,5,2,3,6,4
3236,carmon,2,8,2,5,3
3237,carmona,3,10,2,5,8
3238,carnegie,5,5,2,2,10
3239,carney,5,4,3,8,4
3240,carnogur,2,2,1,2,8
3241,carny,7,1,2,8,9
3242,caro,7,8,2,5,9
3243,carol,5,8,1,5,4
3244,carol-je,7,3,3,3,6
3245,carola,7,2,3,10,10
3246,carolan,9,6,3,2,4
3247,carole,4,3,2,9,7
3248,carolee,5,3,2,7,3
3249,carolien,5,7,3,2,5
3250,carolin,10,10,1,3,3
3251,carolina,7,10,1,4,7
3252,caroline,2,7,1,10,9
3253,caroljea,4,7,1,9,7
3254,carolle,9,10,2,4,5
3255,carolus,6,3,1,9,5
3256,carolyn,7,1,3,2,9
3257,carolyne,8,6,2,3,9
3258,carolynn,9,4,2,4,3
3259,caron,8,6,1,3,8
3260,carpenti,8,7,1,8,6
3261,carpool,7,2,3,8,1
3262,carran,5,3,2,9,9
3263,carree,6,1,3,8,5
3264,carri,4,6,2,2,5
3265,carrie,5,7,1,3,6
3266,carrillo,9,10,2,5,6
3267,carringt,2,7,3,8,10
3268,carrissa,3,3,2,10,6
3269,carrol,6,3,2,7,2
3270,carroll,10,1,1,5,5
3271,carron,9,4,3,1,9
3272,carruthe,8,1,3,6,3
3273,carry,6,8,1,5,3
3274,carrye,3,4,3,3,9
3275,carson,4,10,3,9,1
3276,carsten,4,7,3,5,2
3277,carstens,1,5,2,8,6
3278,carswell,2,3,3,8,2
3279,cart,6,9,1,6,2
3280,carter,2,8,1,4,1
3281,cartohl,4,3,3,4,6
3282,carufel,5,6,3,5,5
3283,caruk,6,2,3,4,6
3284,caruso,1,3,3,2,1
3285,caruth,4,9,1,7,5
3286,carvalho,2,5,2,8,10
3287,carver,5,6,3,7,4
3288,cary,4,2,1,7,7
3289,caryl,10,4,1,2,2
3290,caryn,5,8,2,3,4
3291,cas,2,9,2,6,8
3292,casalou,7,1,3,5,7
3293,casandra,2,1,3,6,6
3294,casanova,7,4,2,10,9
3295,casar,4,5,3,2,2
3296,casas,2,2,2,4,1
3297,case,8,1,2,7,5
3298,casey,9,8,2,6,2
3299,cash,9,2,1,10,6
3300,casi,1,8,2,1,2
3301,casie,1,6,3,3,2
3302,casinovi,5,5,3,4,5
3303,caskey,6,5,3,10,4
3304,casnji,5,2,1,6,6
3305,casperso,3,3,2,7,3
3306,cass,8,4,1,2,10
3307,cassady,1,1,2,3,9
3308,cassandr,1,7,1,5,4
3309,cassar,9,7,3,4,4
3310,cassat,7,2,2,7,3
3311,cassaund,8,1,1,7,5
3312,cassese,8,4,2,7,6
3313,cassey,5,5,3,4,8
3314,cassi,8,2,1,4,9
3315,cassidy,7,2,3,9,8
3316,cassie,4,7,1,3,8
3317,cassius,2,6,1,3,3
3318,casson,8,4,2,10,5
3319,cassondr,10,2,1,3,2
3320,cassy,3,9,1,10,6
3321,castaban,7,6,3,1,1
3322,castello,4,9,3,1,9
3323,casten,5,3,2,5,5
3324,castillo,6,6,1,3,7
3325,casto,3,4,2,5,7
3326,castongu,1,1,1,4,10
3327,castro,2,6,1,10,5
3328,castro-h,5,4,2,7,1
3329,castrono,3,3,2,10,1
3330,caswell,7,3,2,10,1
3331,cat,5,5,2,6,6
3332,cate,3,7,1,9,4
3333,caterina,1,2,3,3,6
3334,catering,8,3,2,2,10
3335,cath,6,5,3,5,5
3336,catha,10,3,2,3,2
3337,cathal,8,3,3,3,4
3338,catharin,8,2,2,2,7
3339,cathe,8,2,1,2,3
3340,cathee,4,1,3,10,8
3341,catherin,4,9,1,2,7
3342,catherwo,4,2,3,6,2
3343,cathi,4,1,1,3,6
3344,cathleen,5,5,3,8,5
3345,cathlene,3,7,2,10,7
3346,cathrin,6,7,1,3,5
3347,cathryn,5,9,2,2,1
3348,cathy,7,9,3,3,7
3349,cathylee,5,8,1,4,2
3350,cati,5,5,3,1,3
3351,catie,6,3,3,3,3
3352,catina,9,6,1,4,5
3353,catja,2,1,3,7,4
3354,catlaina,3,10,2,2,4
3355,catlee,3,5,3,6,2
3356,catlett,4,1,2,2,4
3357,catlin,7,9,3,1,8
3358,cato,4,1,2,4,6
3359,caton,4,6,3,6,2
3360,catrina,7,4,1,8,4
3361,catriona,9,6,3,1,6
3362,catthoor,5,5,1,4,10
3363,cau,4,2,1,1,10
3364,caudill,1,2,2,9,4
3365,caudle,2,7,2,2,9
3366,cauthers,3,7,2,9,7
3367,cavan,4,3,3,7,1
3368,cavanagh,1,8,3,2,6
3369,cavanaug,8,1,2,10,5
3370,cavasin,7,1,3,3,10
3371,cavasso,5,3,3,10,10
3372,caves,7,6,3,1,7
3373,cavill,7,4,2,6,9
3374,cavin,2,4,1,2,9
3375,caviness,2,9,2,7,1
3376,cavnar,4,10,1,6,5
3377,cawley,6,2,2,7,3
3378,caye,10,5,3,7,4
3379,cayer-fl,6,1,2,6,9
3380,cayla,4,2,3,10,4
3381,cayless,1,9,3,1,8
3382,cayouett,10,7,1,1,9
3383,caz,7,2,2,1,8
3384,caza,4,10,1,3,5
3385,cazzie,3,3,1,7,2
3386,cbabbage,1,1,1,2,10
3387,cchaddie,6,10,2,2,4
3388,cecco,8,7,2,10,1
3389,cece,3,2,2,6,4
3390,cecelia,8,3,2,10,2
3391,cech,10,6,1,1,7
3392,cecil,3,5,2,7,8
3393,cecile,6,2,3,3,7
3394,ceciley,10,5,2,10,5
3395,cecilia,2,7,2,7,2
3396,cecilio,2,7,1,8,3
3397,cecilius,7,6,3,7,7
3398,cecilla,4,1,2,6,2
3399,cecily,5,1,1,2,10
3400,cecon,10,10,3,4,4
3401,ced,5,10,1,2,5
3402,cedric,5,6,2,2,10
3403,ceil,3,4,3,3,4
3404,cele,4,3,3,5,7
3405,celene,10,3,2,8,6
3406,celesta,5,6,2,8,2
3407,celeste,7,8,2,1,10
3408,celestia,4,2,3,10,3
3409,celestin,4,8,1,5,2
3410,celestyn,2,4,1,10,7
3411,celia,8,4,1,8,3
3412,celie,6,9,2,2,7
3413,celina,6,3,1,7,3
3414,celinda,1,6,2,5,4
3415,celine,5,7,3,2,9
3416,celinka,3,7,3,6,5
3417,celisse,8,2,1,7,7
3418,celka,10,7,1,8,3
3419,celle,10,4,3,9,5
3420,cello,3,9,2,5,7
3421,cellucci,10,5,1,9,5
3422,celso,10,3,3,10,1
3423,celyne,6,8,2,9,5
3424,cemensky,4,7,1,7,9
3425,cen,10,2,2,8,3
3426,cencier,4,4,1,9,2
3427,centeno,9,9,3,7,1
3428,center,5,2,2,8,5
3429,centers,3,7,2,4,7
3430,centis,3,3,3,5,1
3431,centre,2,3,2,6,7
3432,cepero,4,7,2,1,4
3433,cerberus,3,2,1,3,6
3434,ceri,1,2,3,5,7
3435,ceriel,8,1,3,5,10
3436,cerny,6,7,1,2,10
3437,cervante,10,6,3,7,1
3438,cesar,9,6,1,3,6
3439,cesaratt,6,8,2,6,3
3440,cesario,5,2,2,2,2
3441,cescon,6,8,1,2,7
3442,cetraro,9,4,1,10,3
3443,cezary,7,5,3,2,9
3444,chaaban,4,4,3,8,8
3445,chaar,1,2,2,2,4
3446,chabane,5,9,1,8,4
3447,chabert,6,2,2,3,10
3448,chabrat,4,8,3,7,8
3449,chacko,4,7,3,4,2
3450,chacon,10,2,2,7,1
3451,chadd,4,2,1,8,9
3452,chaddha,1,2,2,9,3
3453,chaddie,7,8,1,4,5
3454,chaddock,2,8,1,4,6
3455,chaddy,9,2,3,3,6
3456,chadha,4,1,2,8,3
3457,chadrick,1,10,3,2,3
3458,chadwick,8,1,2,3,4
3459,chafin,7,2,1,8,3
3460,chafy,7,2,1,6,1
3461,chahal,2,3,3,1,7
3462,chahram,1,1,1,2,5
3463,chai,7,5,1,10,5
3464,chai-seo,7,10,1,5,3
3465,chaikows,6,2,1,2,4
3466,chaim,1,4,1,8,6
3467,chaiman,4,9,3,1,5
3468,chaimson,1,2,3,9,1
3469,chaintre,6,1,3,9,9
3470,chaisupa,1,1,3,10,10
3471,chak-hon,6,5,3,10,1
3472,chakraba,10,2,1,5,5
3473,chakrabo,7,7,2,8,6
3474,chakrava,8,2,3,4,4
3475,chalifou,5,4,1,5,10
3476,chalker,5,5,3,10,7
3477,challice,2,7,3,4,5
3478,chalmers,6,3,1,2,3
3479,chalton,3,10,1,4,3
3480,cham,10,1,1,1,8
3481,chamard,3,1,1,4,3
3482,chamayou,8,9,2,1,6
3483,chambers,1,9,2,9,3
3484,champath,10,7,2,2,7
3485,champion,6,8,3,6,3
3486,champsi,7,5,2,10,7
3487,chamsi,4,5,3,5,9
3488,chan,7,1,1,9,2
3489,chan-jiu,5,6,1,1,5
3490,chan-nan,9,5,3,6,3
3491,chance,7,4,3,4,5
3492,chancey,9,10,1,3,5
3493,chanchla,5,7,2,1,4
3494,chanco,7,6,3,6,3
3495,chand,4,5,2,7,1
3496,chanda,2,6,3,8,3
3497,chandal,8,4,2,4,3
3498,chandan,2,4,3,10,2
3499,chandler,9,8,1,3,5
3500,chandra,3,10,3,5,4
3501,chandrak,3,7,1,4,6
3502,chandru,4,5,2,3,9
3503,chane,4,6,2,8,1
3504,chang-hs,2,7,1,8,3
3505,changes,10,1,3,7,2
3506,changho,5,2,1,8,5
3507,chanh,10,3,1,3,7
3508,chanitr,1,2,3,6,8
3509,channa,3,8,2,3,7
3510,channan,3,3,2,6,1
3511,channell,7,6,1,6,5
3512,channen,8,7,1,7,5
3513,chanonat,8,3,2,6,9
3514,chansik,8,4,1,2,5
3515,chantal,8,3,2,9,7
3516,chantall,9,3,1,3,3
3517,chantel,7,2,1,5,9
3518,chantell,9,3,1,3,1
3519,chao,8,3,2,4,9
3520,chao-pin,1,7,1,10,4
3521,chaoping,3,8,1,2,4
3522,chapa,4,5,2,3,3
3523,chapdela,1,1,3,9,9
3524,chapen,10,2,2,3,2
3525,chapin,1,10,3,3,4
3526,chaplin,3,2,2,5,3
3527,chapman,8,2,2,4,6
3528,chapmond,2,1,1,2,3
3529,chappell,1,9,2,10,4
3530,chappuis,1,1,2,1,9
3531,chaput,3,9,2,4,9
3532,char,4,3,2,7,1
3533,charangi,4,8,1,6,2
3534,charasse,6,6,3,6,5
3535,charbonn,1,7,2,9,10
3536,charchan,8,4,3,5,3
3537,chardon,8,10,3,8,2
3538,charee,7,3,3,1,6
3539,charene,7,5,1,8,4
3540,charest,9,9,3,7,2
3541,charette,6,1,1,10,7
3542,chari,3,5,1,1,10
3543,charil,6,7,2,7,2
3544,charin,3,5,1,10,6
3545,charis,2,6,1,8,4
3546,charisse,3,2,2,8,9
3547,charita,9,1,1,10,4
3548,charity,4,10,2,4,7
3549,charko,3,1,2,9,7
3550,charla,7,6,3,3,4
3551,charlean,5,3,2,9,7
3552,charlebo,5,3,1,3,4
3553,charlena,8,8,2,10,3
3554,charlene,5,3,2,8,5
3555,charles,4,8,3,1,3
3556,charlesb,3,5,1,7,1
3557,charleto,6,5,2,8,6
3558,charlie,7,6,2,5,8
3559,charline,1,1,1,6,9
3560,charlins,8,4,3,9,6
3561,charlot,8,10,2,1,1
3562,charlott,7,8,2,5,9
3563,charlsey,8,10,1,4,1
3564,charlton,8,6,3,1,6
3565,charly,10,3,1,5,6
3566,charmain,4,7,2,4,1
3567,charman,5,9,1,3,7
3568,charmian,6,2,2,5,9
3569,charmine,8,5,2,10,2
3570,charmion,6,10,1,4,2
3571,charness,1,10,3,5,3
3572,charney,6,8,3,3,8
3573,charo,7,1,1,8,3
3574,charon,1,7,3,6,4
3575,charron,10,1,1,7,7
3576,charter,10,2,1,5,7
3577,chartran,4,9,2,1,10
3578,charyl,10,2,1,10,7
3579,chas,10,8,1,9,1
3580,chasalow,1,8,1,5,9
3581,chase,10,1,1,5,5
3582,chasse,1,5,1,7,8
3583,chastity,3,8,3,5,1
3584,chatard,5,4,2,2,1
3585,chatchai,6,7,3,1,5
3586,chatel,2,4,2,5,7
3587,chatfiel,9,3,2,2,6
3588,chatha,7,9,2,8,2
3589,chatri,3,4,2,9,6
3590,chatterl,2,4,1,1,3
3591,chattert,4,9,2,7,7
3592,chattoe,7,4,2,8,8
3593,chattos,3,5,1,7,4
3594,chau,6,5,2,3,3
3595,chaudhry,2,9,1,10,8
3596,chaudry,3,1,2,8,8
3597,chaug-mi,10,8,2,3,5
3598,chaugmin,8,8,2,7,6
3599,chauhan,6,9,3,4,10
3600,chaunce,3,4,2,4,7
3601,chauncey,7,5,3,5,7
3602,chaurasi,8,7,3,1,4
3603,chautems,10,4,3,3,8
3604,chauvin,10,4,3,7,6
3605,chavers,7,1,3,8,6
3606,chaves,1,7,2,5,5
3607,chavez,5,2,3,10,9
3608,chavis,9,3,1,2,5
3609,chawla,7,4,2,5,7
3610,chaya,9,7,3,5,7
3611,chaz,8,10,2,7,4
3612,che,4,6,3,5,8
3613,cheal,4,9,1,9,6
3614,cheatham,6,1,2,9,7
3615,cheba,4,7,3,1,3
3616,checinsk,9,2,3,3,2
3617,checklan,1,9,1,3,2
3618,chee,2,1,2,1,3
3619,chee-yin,5,9,2,8,6
3620,chee-yon,3,3,2,3,9
3621,cheesema,4,9,1,8,2
3622,cheesman,1,4,3,4,4
3623,cheetham,1,9,2,6,3
3624,cheevers,3,7,3,1,3
3625,chellapp,6,9,3,4,9
3626,chelsae,8,2,2,2,8
3627,chelsea,1,7,1,8,8
3628,chelsey,4,2,2,2,9
3629,chelsie,3,5,3,4,8
3630,chelsy,1,7,3,9,5
3631,chem,6,10,3,8,1
3632,chen,8,3,3,2,10
3633,chen-che,6,2,2,2,2
3634,chen-jun,8,3,2,10,1
3635,chen-msi,2,2,1,6,7
3636,chenard,5,3,2,4,5
3637,chenault,5,6,3,1,5
3638,chenchun,8,6,2,1,2
3639,cheney,7,9,1,2,6
3640,cheng,8,4,1,7,7
3641,cheng-do,10,8,1,9,3
3642,cheng-fo,7,6,1,8,7
3643,cheng-ho,9,8,2,8,2
3644,cheng-hu,10,4,2,4,2
3645,cheng-ts,10,1,2,2,7
3646,chengdon,3,2,2,4,2
3647,chengfoo,8,2,3,8,1
3648,chenghun,2,3,3,6,6
3649,chengwei,2,3,3,9,2
3650,chenier,6,4,2,7,9
3651,chenmsie,1,4,1,4,4
3652,chennett,10,4,1,5,4
3653,chenye,6,4,2,4,10
3654,cheol,8,8,2,1,4
3655,cheow-to,4,9,2,1,3
3656,cheowton,4,6,1,9,7
3657,chepregi,10,3,2,2,4
3658,cher,1,9,3,5,5
3659,chere,9,7,2,5,6
3660,cherenso,5,4,1,1,5
3661,cherey,8,1,3,10,4
3662,cherian,10,2,1,7,6
3663,cherice,3,4,2,4,6
3664,cherie,2,6,2,4,4
3665,cherilyn,5,3,2,10,4
3666,cherin,2,8,2,4,8
3667,cherise,1,4,2,8,8
3668,cherish,3,7,2,2,8
3669,cherkas,4,4,3,5,7
3670,cherlyn,6,6,2,10,2
3671,chern,2,3,2,4,9
3672,chernets,9,1,2,9,10
3673,cherrier,6,7,1,7,8
3674,cherrita,5,2,3,9,9
3675,cherry,1,6,2,1,6
3676,chervena,7,4,1,1,9
3677,cherye,9,5,3,1,7
3678,ches,3,6,2,1,10
3679,cheshire,4,7,2,6,7
3680,chesley,2,7,2,4,7
3681,chesser,9,3,3,10,5
3682,chesteen,3,7,1,8,10
3683,chester,4,2,2,6,4
3684,chesterf,7,4,1,9,4
3685,cheston,2,10,2,1,7
3686,chet,5,5,1,9,10
3687,chetan,10,5,3,9,4
3688,cheuk,4,3,2,10,7
3689,cheung,2,3,2,5,5
3690,chev,1,1,1,10,6
3691,chevalie,6,4,3,1,9
3692,chevarie,3,10,2,1,3
3693,chevy,2,2,3,4,1
3694,cheyenne,2,7,2,6,5
3695,chi,7,8,3,2,8
3696,chi-hua,9,5,3,9,5
3697,chi-hung,1,4,2,4,7
3698,chi-kai,7,3,3,3,8
3699,chi-keun,9,1,2,2,1
3700,chi-kwan,2,1,3,9,9
3701,chi-man,6,7,2,1,8
3702,chi-vien,6,4,3,2,9
3703,chi-wen,5,1,2,7,6
3704,chi-yuan,6,7,2,2,8
3705,chia,9,9,1,3,5
3706,chia-hoa,10,1,2,1,7
3707,chia-hua,1,5,1,2,6
3708,chiabaut,3,1,3,2,3
3709,chiahoan,1,10,3,7,5
3710,chiaki,2,1,3,1,10
3711,chiamvim,3,2,1,6,3
3712,chian,3,9,1,9,5
3713,chian-fo,3,7,2,5,10
3714,chianfon,4,2,3,5,2
3715,chiang,3,10,3,4,1
3716,chiang-h,3,6,3,10,3
3717,chianghu,8,4,3,5,6
3718,chiaoyun,6,7,2,4,5
3719,chiarell,2,5,1,8,1
3720,chiarra,7,7,1,6,3
3721,chiavaro,2,4,2,9,2
3722,chic,4,1,3,1,10
3723,chick,5,2,1,8,9
3724,chickie,7,8,3,7,1
3725,chicky,9,7,3,7,1
3726,chico,3,3,1,9,3
3727,chie,8,7,2,1,5
3728,chieh,2,7,1,2,10
3729,chien,8,6,3,7,7
3730,chien-ch,9,3,2,4,10
3731,chien-hs,7,5,2,7,2
3732,chien-hu,4,2,3,3,10
3733,chienche,4,8,2,5,6
3734,chienchi,6,4,3,10,8
3735,chienhsi,3,5,3,8,8
3736,chienhue,4,10,3,5,3
3737,chieu,2,1,3,4,1
3738,chih,3,8,1,9,9
3739,chih-chi,9,4,2,7,4
3740,chih-hsi,2,4,1,6,10
3741,chih-hua,1,7,3,7,8
3742,chih-tsa,5,1,3,4,9
3743,chihaw,7,9,2,6,5
3744,chihchia,5,1,1,3,3
3745,chihchie,6,6,2,3,6
3746,chihhsia,3,5,3,7,3
3747,chihhua,8,3,1,9,7
3748,chihtsai,8,1,3,9,6
3749,chihua,8,1,2,9,1
3750,chihung,8,6,2,1,1
3751,chiiwen,7,8,1,10,2
3752,chikai,8,7,1,4,6
3753,childers,1,1,3,8,2
3754,childree,6,8,2,10,4
3755,chilton,3,4,2,10,7
3756,chima,7,6,3,3,8
3757,chin-ho,4,3,1,3,9
3758,chin-lin,4,9,1,6,10
3759,chin-shu,8,6,1,6,1
3760,chin-ten,4,9,2,5,8
3761,chin-wen,8,4,1,3,8
3762,chinfui,2,10,3,7,8
3763,ching,2,9,2,4,3
3764,ching-fu,9,2,3,2,4
3765,ching-lo,1,5,3,1,4
3766,ching-ts,5,8,3,1,3
3767,ching-yu,7,9,2,8,3
3768,chingchy,9,9,3,3,1
3769,chingen,3,3,1,10,10
3770,chingfu,5,9,3,5,6
3771,chingtsu,3,2,3,7,5
3772,chingyun,3,2,1,2,6
3773,chinh,1,9,1,3,5
3774,chinho,7,3,3,3,4
3775,chiniwal,7,1,1,5,7
3776,chinlin,7,3,3,9,7
3777,chinn,4,9,3,7,8
3778,chinnery,7,9,3,3,2
3779,chinrung,9,3,2,8,7
3780,chinshu,2,8,1,10,7
3781,chinteng,3,6,3,6,6
3782,chiou,5,8,1,1,9
3783,chip,1,9,2,9,6
3784,chiquia,8,8,2,6,7
3785,chiquita,2,2,3,3,9
3786,chiracha,10,3,2,4,4
3787,chisholm,4,10,1,4,5
3788,chisolm,2,8,2,8,1
3789,chitkara,3,5,3,10,4
3790,chitnis,3,4,3,8,9
3791,chityal,7,6,2,7,8
3792,chiu,9,3,2,1,7
3793,chiverto,7,7,2,3,5
